Name,Type,Syntax,Description,Link
ABS,Math and trigonometry,ABS(number),Returns the absolute value of a number,https://support.microsoft.com/en-us/office/abs-function-3420200f-5628-4e8c-99da-c99d7c87713c
ACCRINT,Financial,"ACCRINT(issue, first_interest, settlement, rate, par, frequency, [basis], [calc_method])",Returns the accrued interest for a security that pays periodic interest,https://support.microsoft.com/en-us/office/accrint-function-fe45d089-6722-4fb3-9379-e1f911d8dc74
ACCRINTM,Financial,"ACCRINTM(issue, settlement, rate, par, [basis])",Returns the accrued interest for a security that pays interest at maturity,https://support.microsoft.com/en-us/office/accrintm-function-f62f01f9-5754-4cc4-805b-0e70199328a7
ACOS,Math and trigonometry,ACOS(number),Returns the arccosine of a number,https://support.microsoft.com/en-us/office/acos-function-cb73173f-d089-4582-afa1-76e5524b5d5b
ACOSH,Math and trigonometry,ACOSH(number),Returns the inverse hyperbolic cosine of a number,https://support.microsoft.com/en-us/office/acosh-function-e3992cc1-103f-4e72-9f04-624b9ef5ebfe
ACOT,Math and trigonometry,ACOT(number),Returns the arccotangent of a number,https://support.microsoft.com/en-us/office/acot-function-dc7e5008-fe6b-402e-bdd6-2eea8383d905
ACOTH,Math and trigonometry,ACOTH(number),Returns the hyperbolic arccotangent of a number,https://support.microsoft.com/en-us/office/acoth-function-cc49480f-f684-4171-9fc5-73e4e852300f
AGGREGATE,Math and trigonometry,"AGGREGATE(function_num, options, ref1, [ref2], …)",Returns an aggregate in a list or database,https://support.microsoft.com/en-us/office/aggregate-function-43b9278e-6aa7-4f17-92b6-e19993fa26df
ADDRESS,Lookup and reference,"ADDRESS(row_num, column_num, [abs_num], [a1], [sheet_text])",Returns a reference as text to a single cell in a worksheet,https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89
AMORDEGRC,Financial,"AMORDEGRC(cost, date_purchased, first_period, salvage, period, rate, [basis])",Returns the depreciation for each accounting period by using a depreciation coefficient,https://support.microsoft.com/en-us/office/amordegrc-function-a14d0ca1-64a4-42eb-9b3d-b0dededf9e51
AMORLINC,Financial,"AMORLINC(cost, date_purchased, first_period, salvage, period, rate, [basis])",Returns the depreciation for each accounting period,https://support.microsoft.com/en-us/office/amorlinc-function-7d417b45-f7f5-4dba-a0a5-3451a81079a8
AND,Logical,"AND(logical1, [logical2], ...)",Returns TRUE if all of its arguments are TRUE,https://support.microsoft.com/en-us/office/and-function-5f19b2e8-e1df-4408-897a-ce285a19e9d9
ARABIC,Math and trigonometry,ARABIC( text ),"Converts a Roman number to Arabic, as a number",https://support.microsoft.com/en-us/office/arabic-function-9a8da418-c17b-4ef9-a657-9370a30a674f
AREAS,Lookup and reference,AREAS(reference),Returns the number of areas in a reference,https://support.microsoft.com/en-us/office/areas-function-8392ba32-7a41-43b3-96b0-3695d2ec6152
ARRAYTOTEXT,Text,"ARRAYTOTEXT(array, [format])",Returns an array of text values from any specified range,https://support.microsoft.com/en-us/office/arraytotext-function-9cdcad46-2fa5-4c6b-ac92-14e7bc862b8b
ASC,Text,ASC(text),Changes full-width (double-byte) English letters or katakana within a character string to half-width (single-byte) characters,https://support.microsoft.com/en-us/office/asc-function-0b6abf1c-c663-4004-a964-ebc00b723266
ASIN,Math and trigonometry,ASIN(number),Returns the arcsine of a number,https://support.microsoft.com/en-us/office/asin-function-81fb95e5-6d6f-48c4-bc45-58f955c6d347
ASINH,Math and trigonometry,ASINH(number),Returns the inverse hyperbolic sine of a number,https://support.microsoft.com/en-us/office/asinh-function-4e00475a-067a-43cf-926a-765b0249717c
ATAN,Math and trigonometry,ATAN(number),Returns the arctangent of a number,https://support.microsoft.com/en-us/office/atan-function-50746fa8-630a-406b-81d0-4a2aed395543
ATAN2,Math and trigonometry,"ATAN2(x_num, y_num)",Returns the arctangent from x- and y-coordinates,https://support.microsoft.com/en-us/office/atan2-function-c04592ab-b9e3-4908-b428-c96b3a565033
ATANH,Math and trigonometry,ATANH(number),Returns the inverse hyperbolic tangent of a number,https://support.microsoft.com/en-us/office/atanh-function-3cd65768-0de7-4f1d-b312-d01c8c930d90
AVEDEV,Statistical,"AVEDEV(number1, [number2], ...)",Returns the average of the absolute deviations of data points from their mean,https://support.microsoft.com/en-us/office/avedev-function-58fe8d65-2a84-4dc7-8052-f3f87b5c6639
AVERAGE,Statistical,"AVERAGE(number1, [number2], ...)",Returns the average of its arguments,https://support.microsoft.com/en-us/office/average-function-047bac88-d466-426c-a32b-8f33eb960cf6
AVERAGEA,Statistical,"AVERAGEA(value1, [value2], ...)","Returns the average of its arguments, including numbers, text, and logical values",https://support.microsoft.com/en-us/office/averagea-function-f5f84098-d453-4f4c-bbba-3d2c66356091
AVERAGEIF,Statistical,"AVERAGEIF(range, criteria, [average_range])",Returns the average (arithmetic mean) of all the cells in a range that meet a given criteria,https://support.microsoft.com/en-us/office/averageif-function-faec8e2e-0dec-4308-af69-f5576d8ac642
AVERAGEIFS,Statistical,"AVERAGEIFS(average_range, criteria_range1, criteria1, [criteria_range2, criteria2], ...)",Returns the average (arithmetic mean) of all cells that meet multiple criteria.,https://support.microsoft.com/en-us/office/averageifs-function-48910c45-1fc0-4389-a028-f7c5c3001690
BAHTTEXT,Text,BAHTTEXT(number),"Converts a number to text, using the ß (baht) currency format",https://support.microsoft.com/en-us/office/bahttext-function-5ba4d0b4-abd3-4325-8d22-7a92d59aab9c
BASE,Math and trigonometry,"BASE(Number, Radix [Min_length])",Converts a number into a text representation with the given radix (base),https://support.microsoft.com/en-us/office/base-function-2ef61411-aee9-4f29-a811-1c42456c6342
BESSELI,Engineering,"BESSELI(X, N)",Returns the modified Bessel function In(x),https://support.microsoft.com/en-us/office/besseli-function-8d33855c-9a8d-444b-98e0-852267b1c0df
BESSELJ,Engineering,"BESSELJ(X, N)",Returns the Bessel function Jn(x),https://support.microsoft.com/en-us/office/besselj-function-839cb181-48de-408b-9d80-bd02982d94f7
BESSELK,Engineering,"BESSELK(X, N)",Returns the modified Bessel function Kn(x),https://support.microsoft.com/en-us/office/besselk-function-606d11bc-06d3-4d53-9ecb-2803e2b90b70
